study	sample	experiment	run	ftp
SRP028804	SRS469402	SRX334148	SRR950988	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR950/SRR950988/SRR950988.sra
SRP028804	SRS618146	SRX550404	SRR1295933	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR129/SRR1295933/SRR1295933.sra
SRP028804	SRS618122	SRX550380	SRR1295909	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR129/SRR1295909/SRR1295909.sra
SRP028804	SRS469399	SRX334145	SRR950985	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR950/SRR950985/SRR950985.sra
SRP028804	SRS618140	SRX550398	SRR1295927	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR129/SRR1295927/SRR1295927.sra
SRP028804	SRS618123	SRX550381	SRR1295910	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR129/SRR1295910/SRR1295910.sra
SRP028804	SRS618143	SRX550401	SRR1295930	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR129/SRR1295930/SRR1295930.sra
SRP028804	SRS469420	SRX334166	SRR951008	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR951/SRR951008/SRR951008.sra
SRP028804	SRS618157	SRX550415	SRR1295944	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR129/SRR1295944/SRR1295944.sra
SRP028804	SRS469415	SRX334161	SRR951003	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR951/SRR951003/SRR951003.sra
SRP028804	SRS618121	SRX550379	SRR1295908	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR129/SRR1295908/SRR1295908.sra
SRP028804	SRS469408	SRX334154	SRR950994	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR950/SRR950994/SRR950994.sra
SRP028804	SRS618154	SRX550412	SRR1295941	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR129/SRR1295941/SRR1295941.sra
SRP028804	SRS469425	SRX334171	SRR951013	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR951/SRR951013/SRR951013.sra
SRP028804	SRS618147	SRX550405	SRR1295934	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR129/SRR1295934/SRR1295934.sra
SRP028804	SRS618161	SRX550419	SRR1295948	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR129/SRR1295948/SRR1295948.sra
SRP028804	SRS618162	SRX550420	SRR1295949	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR129/SRR1295949/SRR1295949.sra
